id,id2,state,geoid,geoid2,county,density
0400000US37,37,North Carolina,0500000US37001,37001,ALAMANCE,356.5
0400000US37,37,North Carolina,0500000US37003,37003,ALEXANDER,143.1
0400000US37,37,North Carolina,0500000US37005,37005,ALLEGHANY,47.5
0400000US37,37,North Carolina,0500000US37007,37007,ANSON,50.7
0400000US37,37,North Carolina,0500000US37009,37009,ASHE,64.0
0400000US37,37,North Carolina,0500000US37011,37011,AVERY,72.0
0400000US37,37,North Carolina,0500000US37013,37013,BEAUFORT,57.7
0400000US37,37,North Carolina,0500000US37015,37015,BERTIE,30.4
0400000US37,37,North Carolina,0500000US37017,37017,BLADEN,40.2
0400000US37,37,North Carolina,0500000US37019,37019,BRUNSWICK,126.8
0400000US37,37,North Carolina,0500000US37021,37021,BUNCOMBE,362.9
0400000US37,37,North Carolina,0500000US37023,37023,BURKE,179.3
0400000US37,37,North Carolina,0500000US37025,37025,CABARRUS,492.1
0400000US37,37,North Carolina,0500000US37027,37027,CALDWELL,176.1
0400000US37,37,North Carolina,0500000US37029,37029,CAMDEN,41.5
0400000US37,37,North Carolina,0500000US37031,37031,CARTERET,131.3
0400000US37,37,North Carolina,0500000US37033,37033,CASWELL,55.8
0400000US37,37,North Carolina,0500000US37035,37035,CATAWBA,387.1
0400000US37,37,North Carolina,0500000US37037,37037,CHATHAM,93.1
0400000US37,37,North Carolina,0500000US37039,37039,CHEROKEE,60.3
0400000US37,37,North Carolina,0500000US37041,37041,CHOWAN,85.8
0400000US37,37,North Carolina,0500000US37043,37043,CLAY,49.3
0400000US37,37,North Carolina,0500000US37045,37045,CLEVELAND,211.3
0400000US37,37,North Carolina,0500000US37047,37047,COLUMBUS,62.0
0400000US37,37,North Carolina,0500000US37049,37049,CRAVEN,146.0
0400000US37,37,North Carolina,0500000US37051,37051,CUMBERLAND,489.7
0400000US37,37,North Carolina,0500000US37053,37053,CURRITUCK,89.9
0400000US37,37,North Carolina,0500000US37055,37055,DARE,88.5
0400000US37,37,North Carolina,0500000US37057,37057,DAVIDSON,294.7
0400000US37,37,North Carolina,0500000US37059,37059,DAVIE,156.1
0400000US37,37,North Carolina,0500000US37061,37061,DUPLIN,71.7
0400000US37,37,North Carolina,0500000US37063,37063,DURHAM,935.7
0400000US37,37,North Carolina,0500000US37065,37065,EDGECOMBE,111.9
0400000US37,37,North Carolina,0500000US37067,37067,FORSYTH,859.2
0400000US37,37,North Carolina,0500000US37069,37069,FRANKLIN,123.3
0400000US37,37,North Carolina,0500000US37071,37071,GASTON,578.8
0400000US37,37,North Carolina,0500000US37073,37073,GATES,35.8
0400000US37,37,North Carolina,0500000US37075,37075,GRAHAM,30.3
0400000US37,37,North Carolina,0500000US37077,37077,GRANVILLE,112.7
0400000US37,37,North Carolina,0500000US37079,37079,GREENE,80.3
0400000US37,37,North Carolina,0500000US37081,37081,GUILFORD,756.4
0400000US37,37,North Carolina,0500000US37083,37083,HALIFAX,75.5
0400000US37,37,North Carolina,0500000US37085,37085,HARNETT,192.7
0400000US37,37,North Carolina,0500000US37087,37087,HAYWOOD,106.6
0400000US37,37,North Carolina,0500000US37089,37089,HENDERSON,286.1
0400000US37,37,North Carolina,0500000US37091,37091,HERTFORD,69.9
0400000US37,37,North Carolina,0500000US37093,37093,HOKE,120.2
0400000US37,37,North Carolina,0500000US37095,37095,HYDE,9.5
0400000US37,37,North Carolina,0500000US37097,37097,IREDELL,277.8
0400000US37,37,North Carolina,0500000US37099,37099,JACKSON,82.1
0400000US37,37,North Carolina,0500000US37101,37101,JOHNSTON,213.4
0400000US37,37,North Carolina,0500000US37103,37103,JONES,21.6
0400000US37,37,North Carolina,0500000US37105,37105,LEE,227.0
0400000US37,37,North Carolina,0500000US37107,37107,LENOIR,148.5
0400000US37,37,North Carolina,0500000US37109,37109,LINCOLN,262.7
0400000US37,37,North Carolina,0500000US37111,37111,MCDOWELL,102.1
0400000US37,37,North Carolina,0500000US37113,37113,MACON,65.8
0400000US37,37,North Carolina,0500000US37115,37115,MADISON,46.2
0400000US37,37,North Carolina,0500000US37117,37117,MARTIN,53.1
0400000US37,37,North Carolina,0500000US37119,37119,MECKLENBURG,1755.5
0400000US37,37,North Carolina,0500000US37121,37121,MITCHELL,70.4
0400000US37,37,North Carolina,0500000US37123,37123,MONTGOMERY,56.5
0400000US37,37,North Carolina,0500000US37125,37125,MOORE,126.5
0400000US37,37,North Carolina,0500000US37127,37127,NASH,177.3
0400000US37,37,North Carolina,0500000US37129,37129,NEW HANOVER,1058.1
0400000US37,37,North Carolina,0500000US37131,37131,NORTHAMPTON,41.2
0400000US37,37,North Carolina,0500000US37133,37133,ONSLOW,233.1
0400000US37,37,North Carolina,0500000US37135,37135,ORANGE,336.2
0400000US37,37,North Carolina,0500000US37137,37137,PAMLICO,39.1
0400000US37,37,North Carolina,0500000US37139,37139,PASQUOTANK,179.2
0400000US37,37,North Carolina,0500000US37141,37141,PENDER,60.0
0400000US37,37,North Carolina,0500000US37143,37143,PERQUIMANS,54.4
0400000US37,37,North Carolina,0500000US37145,37145,PERSON,100.6
0400000US37,37,North Carolina,0500000US37147,37147,PITT,257.9
0400000US37,37,North Carolina,0500000US37149,37149,POLK,86.3
0400000US37,37,North Carolina,0500000US37151,37151,RANDOLPH,181.1
0400000US37,37,North Carolina,0500000US37153,37153,RICHMOND,98.4
0400000US37,37,North Carolina,0500000US37155,37155,ROBESON,141.3
0400000US37,37,North Carolina,0500000US37157,37157,ROCKINGHAM,165.6
0400000US37,37,North Carolina,0500000US37159,37159,ROWAN,270.7
0400000US37,37,North Carolina,0500000US37161,37161,RUTHERFORD,120.2
0400000US37,37,North Carolina,0500000US37163,37163,SAMPSON,67.1
0400000US37,37,North Carolina,0500000US37165,37165,SCOTLAND,113.4
0400000US37,37,North Carolina,0500000US37167,37167,STANLY,153.3
0400000US37,37,North Carolina,0500000US37169,37169,STOKES,105.6
0400000US37,37,North Carolina,0500000US37171,37171,SURRY,138.4
0400000US37,37,North Carolina,0500000US37173,37173,SWAIN,26.5
0400000US37,37,North Carolina,0500000US37175,37175,TRANSYLVANIA,87.4
0400000US37,37,North Carolina,0500000US37177,37177,TYRRELL,11.3
0400000US37,37,North Carolina,0500000US37179,37179,UNION,318.7
0400000US37,37,North Carolina,0500000US37181,37181,VANCE,179.2
0400000US37,37,North Carolina,0500000US37183,37183,WAKE,1078.8
0400000US37,37,North Carolina,0500000US37185,37185,WARREN,48.9
0400000US37,37,North Carolina,0500000US37187,37187,WASHINGTON,38.0
0400000US37,37,North Carolina,0500000US37189,37189,WATAUGA,163.4
0400000US37,37,North Carolina,0500000US37191,37191,WAYNE,221.7
0400000US37,37,North Carolina,0500000US37193,37193,WILKES,91.9
0400000US37,37,North Carolina,0500000US37195,37195,WILSON,220.6
0400000US37,37,North Carolina,0500000US37197,37197,YADKIN,114.7
0400000US37,37,North Carolina,0500000US37199,37199,YANCEY,57.0
